BRD-K33396764,5280934,DB00132
BRD-K20152659,5280581,DB00154
BRD-K18673820,6037,DB00158
BRD-A84174873,2284,DB00181
BRD-A11990600,3958,DB00186
BRD-K04412738,33741,DB00193
BRD-K05977355,3365,DB00196
BRD-K02404261,2519,DB00201
BRD-K00603606,5472,DB00208
BRD-K33127281,60164,DB00210
BRD-A22380646,4679,DB00213
BRD-K30480208,41781,DB00214
BRD-K34776109,3476,DB00222
BRD-K42693031,3476,DB00222
BRD-K09416995,53232,DB00227
BRD-K32814891,65856,DB00234
BRD-K15502390,4463,DB00238
BRD-K23369905,5361463,DB00239
BRD-A97674275,56959,DB00243
BRD-K28849549,4075,DB00244
BRD-K29582115,60854,DB00246
BRD-K17084514,448537,DB00255
BRD-K15916496,2812,DB00257
BRD-K13240564,688020,DB00265
BRD-K15933101,5095,DB00268
BRD-A69927616,3784,DB00270
BRD-A90799790,3784,DB00270
BRD-K29653726,5284627,DB00273
BRD-K30240666,26987,DB00283
BRD-A51714012,5656,DB00285
BRD-K29458283,2708,DB00291
BRD-A01636364,2474,DB00297
BRD-K15891719,464205,DB00300
BRD-A26384407,2732,DB00310
BRD-A44448661,4737,DB00312
BRD-K41260949,3121,DB00313
BRD-K41524689,1983,DB00316
BRD-K10852020,4659569,DB00323
BRD-A20239487,2249,DB00335
BRD-A55962179,4594,DB00338
BRD-K28667793,1046,DB00339
BRD-A33711280,4167,DB00340
BRD-A09056319,2092,DB00346
BRD-K16606819,5576,DB00347
BRD-K06902185,4201,DB00350
BRD-K14888893,4201,DB00350
BRD-K34685430,8226,DB00353
BRD-A25234499,2145,DB00357
BRD-A89585551,4046,DB00358
BRD-K32273377,5215,DB00359
BRD-K37289225,2818,DB00363
BRD-K35189033,13109,DB00367
BRD-A64977602,4205,DB00370
BRD-K07265709,71384,DB00380
BRD-A22032524,2162,DB00381
BRD-A55272860,5355,DB00391
BRD-A16311756,3290,DB00392
BRD-A24891640,4497,DB00393
BRD-A58048407,4497,DB00393
BRD-A99939097,2576,DB00395
BRD-K27853494,26934,DB00397
BRD-K08273968,441140,DB00400
BRD-A84465106,4499,DB00401
BRD-A96107863,4499,DB00401
BRD-K32398298,2118,DB00404
BRD-K39915878,3964,DB00408
BRD-K15262564,446596,DB00410
BRD-A31521121,4107,DB00423
BRD-K34411947,29327,DB00428
BRD-K03243820,6256,DB00432
BRD-K28143534,2913,DB00434
BRD-A80017228,2315,DB00436
BRD-K07208025,5578,DB00440
BRD-K08206212,153941,DB00442
BRD-K39188321,9782,DB00443
BRD-A49172652,3883,DB00448
